Date,Close,High,Low,Open,dt
31/08/2015,197.6,199.13,197.01,198.11,2015-08-31
01/09/2015,191.61,194.77,190.73,193.12,2015-09-01
02/09/2015,195.46,195.46,192.42,194.65,2015-09-02
03/09/2015,195.55,198.05,194.96,196.26,2015-09-03
04/09/2015,192.56,193.86,191.61,192.85,2015-09-04
08/09/2015,197.51,197.61,195.17,195.94,2015-09-08
09/09/2015,194.79,199.47,194.35,199.34,2015-09-09
10/09/2015,195.88,197.22,194.25,194.54,2015-09-10
11/09/2015,196.77,196.77,194.53,195.38,2015-09-11
14/09/2015,196.0,197.01,195.43,196.97,2015-09-14
15/09/2015,198.49,198.99,196.09,196.6,2015-09-15
16/09/2015,200.19,200.41,198.41,198.82,2015-09-16
17/09/2015,199.76,202.89,199.28,200.02,2015-09-17
18/09/2015,195.42,197.56,194.96,195.7,2015-09-18
21/09/2015,196.46,197.68,195.21,196.44,2015-09-21
22/09/2015,193.88,194.46,192.56,193.88,2015-09-22
23/09/2015,193.57,194.67,192.91,194.11,2015-09-23
24/09/2015,192.93,193.45,190.56,192.15,2015-09-24
25/09/2015,192.81,195.0,191.81,194.64,2015-09-25
28/09/2015,187.93,191.91,187.64,191.78,2015-09-28
29/09/2015,188.05,189.74,186.93,188.26,2015-09-29
30/09/2015,191.67,191.82,189.44,190.37,2015-09-30
01/10/2015,192.15,192.49,189.82,192.08,2015-10-01
02/10/2015,194.98,194.98,189.12,189.77,2015-10-02
05/10/2015,198.5,198.74,196.33,196.46,2015-10-05
06/10/2015,197.82,198.98,197.0,198.31,2015-10-06
07/10/2015,199.45,199.82,197.48,198.9,2015-10-07
08/10/2015,201.22,201.55,198.59,198.95,2015-10-08
09/10/2015,201.36,201.9,200.58,201.37,2015-10-09
12/10/2015,201.55,201.76,200.91,201.42,2015-10-12
13/10/2015,200.22,202.16,200.05,200.65,2015-10-13
14/10/2015,199.27,200.87,198.94,200.18,2015-10-14
15/10/2015,202.33,202.34,199.64,200.08,2015-10-15
16/10/2015,203.14,203.29,201.92,202.83,2015-10-16
19/10/2015,203.33,203.37,202.13,202.5,2015-10-19
20/10/2015,203.07,203.84,202.55,202.85,2015-10-20
21/10/2015,201.82,203.79,201.65,203.61,2015-10-21
22/10/2015,205.22,205.51,202.81,202.98,2015-10-22
23/10/2015,207.51,207.95,206.3,207.25,2015-10-23
26/10/2015,206.97,207.37,206.56,207.3,2015-10-26
27/10/2015,206.58,207.0,205.79,206.2,2015-10-27
28/10/2015,208.96,208.97,206.21,206.97,2015-10-28
